"term_id","technical_key","japanese_name","display_name","category","definition","formula","numerator","denominator","grain","unit","timezone","source_of_truth","update_frequency","owner","consumers","access_level","status","aliases","exclusions","edge_cases","decision_required","effective_from","version"
"organization.primary_affiliation","primary_affiliation","主所属","主所属","organization","同一時点の複数所属のうち基準となる一つの所属。","","","","organization","record","Asia/Tokyo","Core Read Adapter / public.corporations, public.stores","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Needs Business Decision","","","","主所属選択規則を承認","","1.0-draft"
"organization.concurrent_assignment","concurrent_assignment","兼務","兼務","organization","同一期間に主所属以外の有効な所属を持つ状態。","","","","organization","record","Asia/Tokyo","Core Read Adapter / public.corporations, public.stores","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Needs Business Decision","","","","実績・人員の按分規則を承認","","1.0-draft"
"organization.support_store","support_store","応援店舗","応援店舗","organization","主所属以外で一時的に勤務・売上計上対象となる店舗。","","","","organization","record","Asia/Tokyo","Core Read Adapter / public.corporations, public.stores","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Needs Business Decision","","","","勤務・売上・人件費の計上先を承認","","1.0-draft"
"organization.owning_corporation","owning_corporation","所有法人","所有法人","organization","店舗資産または契約上の所有主体となる法人。","","","","organization","record","Asia/Tokyo","Core Read Adapter / public.corporations, public.stores","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Needs Business Decision","","","","直営/FCでの正式属性を承認","","1.0-draft"
"organization.operating_corporation","operating_corporation","運営法人","運営法人","organization","店舗の日常運営責任を負う法人。","","","","organization","record","Asia/Tokyo","Core Read Adapter / public.corporations, public.stores","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Needs Business Decision","","","","所有法人と異なる場合の権限を承認","","1.0-draft"
"organization.aggregation_corporation","aggregation_corporation","集計法人","集計法人","organization","KPI・財務報告で実績を帰属させる法人。","","","","organization","record","Asia/Tokyo","Core Read Adapter / public.corporations, public.stores","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Needs Business Decision","","","","FC・共同運営時の集計規則を承認","","1.0-draft"
"organization.store_core_id","store_core_id","店舗Core ID","店舗Core ID","organization","店舗名称・外部コードから分離したpublic.stores.id。","","","","store","UUID","Asia/Tokyo","public.stores.id","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Proposed","store_id","","","","","1.0-draft"
"people.employee","employee","社員","社員","people","public.employees.idで一意に識別するcanonical person record。雇用状態とは分離する。","","","","employee|effective_period","UUID","Asia/Tokyo","Core Read Adapter / public.employees","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Confirmed","","","","","","1.0-draft"
"people.active_employee","active_employee","現職者","現職者","people","基準日時点で現職者管理の対象となるemployee。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","現職社員","","","休職者・入社予定者を含めるか","","1.0-draft"
"people.employed_person","employed_person","在籍者","在籍者","people","基準日時点で雇用関係が有効なemployee。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","休職者を在籍人数に含めるか","","1.0-draft"
"people.leave_of_absence_employee","leave_of_absence_employee","休職者","休職者","people","承認済み休職期間内にあるemployee。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","KPI分母ごとの除外規則を承認","","1.0-draft"
"people.retired_employee","retired_employee","退職者","退職者","people","退職effective dateを経過したemployee。過去実績の帰属は保持する。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","退職日当日の権限・稼働扱い","","1.0-draft"
"people.working_person","working_person","稼働者","稼働者","people","対象期間に承認済み稼働条件を満たすperson。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","出勤・売上・労働時間のどれを条件にするか","","1.0-draft"
"people.non_working_person","non_working_person","非稼働者","非稼働者","people","在籍しているが対象期間の稼働条件を満たさないperson。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","欠勤・研修・本部勤務の扱い","","1.0-draft"
"people.technician","technician","技術者","技術者","people","技術施術売上の担当資格を持つperson。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","職位・資格・実績のいずれで判定するか","","1.0-draft"
"people.stylist","stylist","スタイリスト","スタイリスト","people","承認済み職種masterでstylistに分類されるperson。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","技術者との包含関係","","1.0-draft"
"people.assistant","assistant","アシスタント","アシスタント","people","承認済み職種masterでassistantに分類されるperson。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","技術売上担当可否","","1.0-draft"
"people.store_manager","store_manager","店長","店長","people","有効期間付きroleとstore scopeを持つ店舗責任者。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","複数店兼任時の権限","","1.0-draft"
"people.area_manager","area_manager","エリアマネージャー","エリアマネージャー","people","有効期間付きroleとarea/store scopeを持つ責任者。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","area assignmentの物理正本","","1.0-draft"
"people.franchise_owner","franchise_owner","FCオーナー","FCオーナー","people","特定FC法人・店舗scopeを持つprincipal。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","employee/外部principalの区分","","1.0-draft"
"people.support_staff","support_staff","応援スタッフ","応援スタッフ","people","対象期間に主所属外店舗で有効な応援assignmentを持つperson。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","売上と人時の計上先","","1.0-draft"
"people.mid_month_transfer_employee","mid_month_transfer_employee","月中異動者","月中異動者","people","月内に有効な所属が変更されたemployee。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","月次人数・売上の按分/実績日帰属","","1.0-draft"
"people.joined_date","joined_date","入社日","入社日","people","雇用開始を表すeffective date。実列名joined_onはAdapterで吸収する。","","","","employee|effective_period","date","Asia/Tokyo","Core Read Adapter / public.employees.joined_on","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Proposed","","","","","","1.0-draft"
"people.retired_date","retired_date","退職日","退職日","people","雇用終了を表すeffective date。実列名retired_onはAdapterで吸収する。","","","","employee|effective_period","date","Asia/Tokyo","Core Read Adapter / public.employees.retired_on","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Proposed","","","","","","1.0-draft"
"people.assignment_period","assignment_period","配属期間","配属期間","people","employeeと組織の関係が有効な開始日から終了日までの期間。","","","","employee|effective_period","period","Asia/Tokyo","employee_assignment_histories / employee_store_assignments","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Proposed","","","","","","1.0-draft"
"people.headcount","headcount","在籍人数","在籍人数","people","指定as-ofまたは期間ルールで在籍者を重複排除した人数。","COUNT(DISTINCT employee_id meeting employed rule)","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","as-of日・休職・月中異動の扱い","","1.0-draft"
"people.working_headcount","working_headcount","稼働人数","稼働人数","people","対象期間に稼働条件を満たしたpersonの重複排除人数。","COUNT(DISTINCT employee_id meeting working rule)","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","稼働条件と応援者の帰属","","1.0-draft"
"people.fte","fte","FTE","FTE","people","対象期間の標準労働量に対する実労働量の換算人数。","confirmed_labor_hours / standard_labor_hours","confirmed_labor_hours","standard_labor_hours","employee|effective_period","FTE","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","標準労働時間と休暇扱い","","1.0-draft"
"people.labor_hours","labor_hours","労働時間","労働時間","people","承認済み勤怠から得る対象期間の時間量。","","","","employee|effective_period","hour","Asia/Tokyo","Unknown（勤怠正本候補）","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","","","","実労働/所定/残業/休憩の包含","","1.0-draft"
"people.staff_count","staff_count","スタッフ数","スタッフ数","people","現行表記。正式には在籍人数・稼働人数・FTEのいずれかへ分解する。","","","","employee|effective_period","person","Asia/Tokyo","Core Read Adapter / public.employees, assignment history","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Needs Business Decision","社員数","","","利用画面ごとに正式分母へ置換","","1.0-draft"
"people.manager_relationship","manager_relationship","上長関係","上長関係","people","employeeと直属上長の有効期間付き関係。","","","","employee|effective_period","person","Asia/Tokyo","Unknown（Core拡張候補）","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Proposed","","","","","","1.0-draft"
"people.employee_external_id","employee_external_id","社員外部ID","社員外部ID","people","source system内のstaff ID。Core IDへmappingして利用する。","","","","employee|effective_period","identifier","Asia/Tokyo","source system","随時（effective-dated）","人事 / Core Master owner","店舗営業管理|NOV Talent|現職者管理","本人・管理scope。個人情報はHR権限","Proposed","","","","","","1.0-draft"
"sales.gross_sales","gross_sales","総売上","総売上","sales","指定税・値引・取消・返品ルールに基づく売上集計。現時点では式未承認。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","売上|総売上高","","","税込/税抜、調整前後、構成項目を承認","","1.0-draft"
"sales.tax_inclusive_sales","tax_inclusive_sales","税込売上","税込売上","sales","消費税を含む売上額。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","内税/外税と端数規則","","1.0-draft"
"sales.tax_exclusive_sales","tax_exclusive_sales","税抜売上","税抜売上","sales","消費税を含まない売上額。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","税計算・端数・軽減税率","","1.0-draft"
"sales.technical_sales","technical_sales","技術売上","技術売上","sales","承認済みservice categoryに分類された売上。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","施術売上","","","純売上かgrossか、category owner、セット按分","","1.0-draft"
"sales.retail_sales","retail_sales","店販売上","店販売上","sales","承認済みretail product categoryに分類された売上。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","商品売上|物販売上","","","MID/EC/返品/セット按分の扱い","","1.0-draft"
"sales.mid_sales","mid_sales","MID売上","MID売上","sales","現行表記のMIDに該当する売上。MIDの正式意味とsource項目は未確認。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Unknown","ミルボンID売上","","","MIDの正式名称、重複関係、sourceを確認","","1.0-draft"
"sales.retail_sales_excluding_mid","retail_sales_excluding_mid","MID除外店販売上","MID除外店販売上","sales","店販売上からMIDとして定義された金額を除いた候補値。","retail_sales - mid_sales（候補）","retail_sales - mid_sales","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Unknown","商品売上（MID抜き）","","","MIDが店販売上に内包されるか確認","","1.0-draft"
"sales.nominated_sales","nominated_sales","指名売上","指名売上","sales","指名区分が承認条件を満たす売上。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","指名判定時点と複数担当按分","","1.0-draft"
"sales.non_nominated_sales","non_nominated_sales","指名外売上","指名外売上","sales","指名売上に該当しない対象技術売上。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","フリー売上","","","対象売上と除外区分","","1.0-draft"
"sales.new_customer_sales","new_customer_sales","新規売上","新規売上","sales","承認済み新規客定義に該当する来店の売上。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","新規客定義と顧客ID欠損","","1.0-draft"
"sales.existing_customer_sales","existing_customer_sales","既存売上","既存売上","sales","承認済み既存客定義に該当する来店の売上。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","再来/固定/失客復帰の包含","","1.0-draft"
"sales.discount","discount","値引き","値引き","sales","原取引に関連付く価格減額。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","売上区分への按分と税","","1.0-draft"
"sales.return_amount","return_amount","返品","返品","sales","商品またはサービスの返却に関連する調整イベントまたは金額。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","返品額","","","返品日/原売上日の計上","","1.0-draft"
"sales.refund_amount","refund_amount","返金","返金","sales","顧客へ返した金額。返品・取消と別イベントで保持する。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","現金/決済返金と売上減額の関係","","1.0-draft"
"sales.cancellation_amount","cancellation_amount","キャンセル","キャンセル","sales","成立済み取引または予約の取消。売上イベントと予約イベントを区別する。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","売上計上済み取消のみ金額対象とするか","","1.0-draft"
"sales.net_sales","net_sales","純売上","純売上","sales","承認済み税基準の売上から値引・取消・返品等を適用した売上。","approved_sales - discounts - cancellations - returns（候補）","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","approved_salesの税基準と返金・訂正の扱い","","1.0-draft"
"sales.sales_recognition_date","sales_recognition_date","売上計上日","売上計上日","sales","売上を報告期間へ帰属させる承認済み日付。","","","","transaction|daily|monthly|store|employee","date","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","施術日/決済日/締め日/訂正日の優先","","1.0-draft"
"sales.sales_month","sales_month","売上月","売上月","sales","売上計上日または営業日から導出するYYYY-MMの月次期間。","","","","monthly|store","month","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Proposed","","","","","","1.0-draft"
"sales.provisional_sales","provisional_sales","仮売上","仮売上","sales","close前または検証未完了の売上version。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","仮売上をランキングに含めるか","","1.0-draft"
"sales.confirmed_sales","confirmed_sales","確定売上","確定売上","sales","source検証・close・承認条件を満たしたimmutable versionの売上。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","承認者と確定条件","","1.0-draft"
"sales.corrected_sales","corrected_sales","修正売上","修正売上","sales","確定後の訂正を新versionとして反映した売上。","","","","transaction|daily|monthly|store|employee","JPY","Asia/Tokyo","Unknown（店舗売上原本候補）","日次・月次close後","営業部 / 経理","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","再open、承認、原version参照","","1.0-draft"
"customer.total_customer_count","total_customer_count","総客数","総客数","customer","対象期間の承認済みvisit/customer重複排除規則による客数。","","","","visit|customer|daily|monthly|store","count","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Needs Business Decision","総来店数","","","会計数/visit数/customer数の採用","","1.0-draft"
"customer.technical_customer_count","technical_customer_count","技術客数","技術客数","customer","技術serviceを受けたvisit/customerの承認済み客数。","","","","visit|customer|daily|monthly|store","count","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Needs Business Decision","","","","複数技術・同日再来の重複排除","","1.0-draft"
"customer.retail_purchasing_customer_count","retail_purchasing_customer_count","店販購入客数","店販購入客数","customer","対象期間に店販購入条件を満たしたvisit/customer数。","","","","visit|customer|daily|monthly|store","count","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Needs Business Decision","商品購買客数|店販購買客数","","","顧客/会計単位と技術来店なし購入","","1.0-draft"
"customer.new_customer","new_customer","新規客","新規客","customer","承認済みlookback範囲内で初回来店と判定された顧客。","","","","visit|customer|daily|monthly|store","count","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Needs Business Decision","新規","","","全社/店舗初回、lookback、顧客ID欠損","","1.0-draft"
"customer.existing_customer","existing_customer","既存客","既存客","customer","新規客以外で有効な来店履歴を持つ顧客。","","","","visit|customer|daily|monthly|store","count","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Needs Business Decision","","","","失客復帰の扱い","","1.0-draft"
"customer.returning_customer","returning_customer","再来客","再来客","customer","初回来店後に再度来店した顧客。","","","","visit|customer|daily|monthly|store","count","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Needs Business Decision","","","","対象期間と店舗跨ぎ","","1.0-draft"
"customer.repeat_customer","repeat_customer","リピート客","リピート客","customer","承認済み回数・期間条件を満たす再来客。","","","","visit|customer|daily|monthly|store","count","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Needs Business Decision","","","","2回目/3回目/固定の包含と期間","","1.0-draft"
"customer.nominated_customer","nominated_customer","指名客","指名客","customer","対象来店で指名条件を満たす顧客。","","","","visit|customer|daily|monthly|store","count","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Needs Business Decision","","","","一部指名・複数担当","","1.0-draft"
"customer.non_nominated_customer","non_nominated_customer","指名外客","指名外客","customer","対象来店で指名条件を満たさない顧客。","","","","visit|customer|daily|monthly|store","count","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Needs Business Decision","フリー客","","","技術客のみを対象とするか","","1.0-draft"
"customer.lost_customer","lost_customer","失客","失客","customer","承認済み無来店期間を超えた顧客。","","","","visit|customer|daily|monthly|store","count","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Unknown","","","","lookback期間と再来時の復帰","","1.0-draft"
"customer.visit_count","visit_count","来店回数","来店回数","customer","承認済みvisit keyで重複排除した来店event数。","","","","visit|customer|daily|monthly|store","visit","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Needs Business Decision","","","","同日複数会計・施術の統合","","1.0-draft"
"customer.duplicate_customer_count","duplicate_customer_count","重複客数","重複客数","customer","同一人物の重複customer record数または重複除外数。","","","","visit|customer|daily|monthly|store","count","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Unknown","","","","意味、matching rule、PII利用を確認","","1.0-draft"
